rank;title;revenue;ceo;title;sector;industry;hq;website;years;employees
203;Office Depot;$13,585;NA;NA;NA;NA;NA;NA;NA;NA;
204;Monsanto;$13,502;NA;NA;NA;NA;NA;NA;NA;NA;
205;Cognizant Technology Solutions;$13,487;NA;NA;NA;NA;NA;NA;NA;NA;
206;Texas Instruments;$13,370;NA;NA;NA;NA;NA;NA;NA;NA;
207;Lincoln National;$13,330;NA;NA;NA;NA;NA;NA;NA;NA;
208;Newell Brands;$13,264;NA;NA;NA;NA;NA;NA;NA;NA;
209;Land O’Lakes;$13,233;NA;NA;NA;NA;NA;NA;NA;NA;
210;Marsh & McLennan;$13,211;NA;NA;NA;NA;NA;NA;NA;NA;
211;Ecolab;$13,153;NA;NA;NA;NA;NA;NA;NA;NA;
212;C.H. Robinson Worldwide;$13,144;NA;NA;NA;NA;NA;NA;NA;NA;
213;Loews;$13,105;NA;NA;NA;NA;NA;NA;NA;NA;
214;CBRE Group;$13,072;NA;NA;NA;NA;NA;NA;NA;NA;
215;Kinder Morgan;$13,058;NA;NA;NA;NA;NA;NA;NA;NA;
216;Kellogg;$13,014;NA;NA;NA;NA;NA;NA;NA;NA;
217;Western Digital;$12,994;NA;NA;NA;NA;NA;NA;NA;NA;
218;Guardian Life Ins. Co. of America;$12,919;NA;NA;NA;NA;NA;NA;NA;NA;
219;Ross Stores;$12,867;NA;NA;NA;NA;NA;NA;NA;NA;
220;L Brands;$12,574;NA;NA;NA;NA;NA;NA;NA;NA;
221;J.C. Penney;$12,547;NA;NA;NA;NA;NA;NA;NA;NA;
222;Farmers Insurance Exchange;$12,513;NA;NA;NA;NA;NA;NA;NA;NA;
223;Reynolds American;$12,503;NA;NA;NA;NA;NA;NA;NA;NA;
224;Viacom;$12,488;NA;NA;NA;NA;NA;NA;NA;NA;
225;Becton Dickinson;$12,483;NA;NA;NA;NA;NA;NA;NA;NA;
226;Micron Technology;$12,399;NA;NA;NA;NA;NA;NA;NA;NA;
227;Principal Financial;$12,394;NA;NA;NA;NA;NA;NA;NA;NA;
228;Arconic;$12,394;NA;NA;NA;NA;NA;NA;NA;NA;
229;NRG Energy;$12,351;NA;NA;NA;NA;NA;NA;NA;NA;
230;VF;$12,207;NA;NA;NA;NA;NA;NA;NA;NA;
231;Devon Energy;$12,197;NA;NA;NA;NA;NA;NA;NA;NA;
232;D.R. Horton;$12,157;NA;NA;NA;NA;NA;NA;NA;NA;
233;Bed Bath & Beyond;$12,104;NA;NA;NA;NA;NA;NA;NA;NA;
234;Consolidated Edison;$12,075;NA;NA;NA;NA;NA;NA;NA;NA;
235;Edison International;$11,869;NA;NA;NA;NA;NA;NA;NA;NA;
236;Sherwin-Williams;$11,856;NA;NA;NA;NA;NA;NA;NA;NA;
237;NGL Energy Partners;$11,742;NA;NA;NA;NA;NA;NA;NA;NA;
238;Dominion Energy;$11,737;NA;NA;NA;NA;NA;NA;NA;NA;
239;Ameriprise Financial;$11,735;NA;NA;NA;NA;NA;NA;NA;NA;
240;ADP;$11,668;NA;NA;NA;NA;NA;NA;NA;NA;
241;Hilton Worldwide Holdings;$11,663;NA;NA;NA;NA;NA;NA;NA;NA;
242;First Data;$11,584;NA;NA;NA;NA;NA;NA;NA;NA;
243;Henry Schein;$11,572;NA;NA;NA;NA;NA;NA;NA;NA;
244;Toys “R” Us;$11,540;NA;NA;NA;NA;NA;NA;NA;NA;
245;BB&T Corp.;$11,538;NA;NA;NA;NA;NA;NA;NA;NA;
246;Reinsurance Group of America;$11,522;NA;NA;NA;NA;NA;NA;NA;NA;
247;Core-Mark Holding;$11,507;NA;NA;NA;NA;NA;NA;NA;NA;
248;Biogen;$11,449;NA;NA;NA;NA;NA;NA;NA;NA;
249;Las Vegas Sands;$11,410;NA;NA;NA;NA;NA;NA;NA;NA;
250;Stanley Black & Decker;$11,407;NA;NA;NA;NA;NA;NA;NA;NA;
251;Parker-Hannifin;$11,361;NA;NA;NA;NA;NA;NA;NA;NA;
252;Stryker;$11,325;NA;NA;NA;NA;NA;NA;NA;NA;
253;Estee Lauder;$11,262;NA;NA;NA;NA;NA;NA;NA;NA;
254;Celgene;$11,229;NA;NA;NA;NA;NA;NA;NA;NA;
255;BlackRock;$11,155;NA;NA;NA;NA;NA;NA;NA;NA;
256;Xcel Energy;$11,107;NA;NA;NA;NA;NA;NA;NA;NA;
257;CSX;$11,069;NA;NA;NA;NA;NA;NA;NA;NA;
258;Unum Group;$11,047;NA;NA;NA;NA;NA;NA;NA;NA;
259;Jacobs Engineering Group;$10,964;NA;NA;NA;NA;NA;NA;NA;NA;
260;Lennar;$10,950;NA;NA;NA;NA;NA;NA;NA;NA;
261;Group 1 Automotive;$10,888;NA;NA;NA;NA;NA;NA;NA;NA;
262;Leucadia National;$10,875;NA;NA;NA;NA;NA;NA;NA;NA;
263;Entergy;$10,846;NA;NA;NA;NA;NA;NA;NA;NA;
264;PayPal Holdings;$10,842;NA;NA;NA;NA;NA;NA;NA;NA;
265;Applied Materials;$10,825;NA;NA;NA;NA;NA;NA;NA;NA;
266;Voya Financial;$10,782;NA;NA;NA;NA;NA;NA;NA;NA;
267;Mastercard;$10,776;NA;NA;NA;NA;NA;NA;NA;NA;
268;Priceline Group;$10,743;NA;NA;NA;NA;NA;NA;NA;NA;
269;Liberty Interactive;$10,647;NA;NA;NA;NA;NA;NA;NA;NA;
270;AutoZone;$10,636;NA;NA;NA;NA;NA;NA;NA;NA;
271;State Street Corp.;$10,635;NA;NA;NA;NA;NA;NA;NA;NA;
272;DTE Energy;$10,630;NA;NA;NA;NA;NA;NA;NA;NA;
273;L3 Technologies;$10,597;NA;NA;NA;NA;NA;NA;NA;NA;
274;HollyFrontier;$10,536;NA;NA;NA;NA;NA;NA;NA;NA;
275;Praxair;$10,534;NA;NA;NA;NA;NA;NA;NA;NA;
276;Universal Health Services;$10,508;NA;NA;NA;NA;NA;NA;NA;NA;
277;Discover Financial Services;$10,497;NA;NA;NA;NA;NA;NA;NA;NA;
278;Occidental Petroleum;$10,398;NA;NA;NA;NA;NA;NA;NA;NA;
279;United States Steel;$10,261;NA;NA;NA;NA;NA;NA;NA;NA;
280;Sempra Energy;$10,183;NA;NA;NA;NA;NA;NA;NA;NA;
281;Baxter International;$10,163;NA;NA;NA;NA;NA;NA;NA;NA;
282;W.W. Grainger;$10,137;NA;NA;NA;NA;NA;NA;NA;NA;
283;Autoliv;$10,074;NA;NA;NA;NA;NA;NA;NA;NA;
284;Norfolk Southern;$9,888;NA;NA;NA;NA;NA;NA;NA;NA;
285;Baker Hughes;$9,841;NA;NA;NA;NA;NA;NA;NA;NA;
286;Ally Financial;$9,835;NA;NA;NA;NA;NA;NA;NA;NA;
287;Sonic Automotive;$9,732;NA;NA;NA;NA;NA;NA;NA;NA;
288;Owens & Minor;$9,723;NA;NA;NA;NA;NA;NA;NA;NA;
289;Huntsman;$9,657;NA;NA;NA;NA;NA;NA;NA;NA;
290;Laboratory Corp. of America;$9,642;NA;NA;NA;NA;NA;NA;NA;NA;
291;Murphy USA;$9,633;NA;NA;NA;NA;NA;NA;NA;NA;
292;Advance Auto Parts;$9,568;NA;NA;NA;NA;NA;NA;NA;NA;
293;Fidelity National Financial;$9,554;NA;NA;NA;NA;NA;NA;NA;NA;
294;Air Products & Chemicals;$9,524;NA;NA;NA;NA;NA;NA;NA;NA;
295;Hormel Foods;$9,523;NA;NA;NA;NA;NA;NA;NA;NA;
296;Hertz Global Holdings;$9,480;NA;NA;NA;NA;NA;NA;NA;NA;
297;MGM Resorts International;$9,455;NA;NA;NA;NA;NA;NA;NA;NA;
298;Corning;$9,390;NA;NA;NA;NA;NA;NA;NA;NA;
299;Republic Services;$9,388;NA;NA;NA;NA;NA;NA;NA;NA;
300;Alcoa;$9,318;NA;NA;NA;NA;NA;NA;NA;NA;
301;Fidelity National Information Services;$9,241;NA;NA;NA;NA;NA;NA;NA;NA;
302;Pacific Life;$9,169;NA;NA;NA;NA;NA;NA;NA;NA;
303;SunTrust Banks;$9,161;NA;NA;NA;NA;NA;NA;NA;NA;
304;LKQ;$9,082;NA;NA;NA;NA;NA;NA;NA;NA;
305;BorgWarner;$9,071;NA;NA;NA;NA;NA;NA;NA;NA;
306;Ball;$9,061;NA;NA;NA;NA;NA;NA;NA;NA;
306;CST Brands;$9,061;NA;NA;NA;NA;NA;NA;NA;NA;
306;Public Service Enterprise Group;$9,061;NA;NA;NA;NA;NA;NA;NA;NA;
309;Eastman Chemical;$9,008;NA;NA;NA;NA;NA;NA;NA;NA;
310;eBay;$8,979;NA;NA;NA;NA;NA;NA;NA;NA;
311;Mohawk Industries;$8,959;NA;NA;NA;NA;NA;NA;NA;NA;
312;Oneok;$8,921;NA;NA;NA;NA;NA;NA;NA;NA;
